"Gene.ID"	"Gene.symbol"
"84079"	"ANKRD27"
"4602"	"MYB"
"2764"	"GMFB"
"10011"	"SRA1"
"91316"	"GUSBP11"
"22847"	"ZNF507"
"4000"	"LMNA"
"4925"	"NUCB2"
"51134"	"CEP83"
"283989"	"TSEN54"
"83667"	"SESN2"
"7741"	"ZSCAN26"
"25842"	"ASF1A"
"56474"	"CTPS2"
"7321"	"UBE2D1"
"2509"	"FTH1P5"
"4436"	"MSH2"
"4067"	"LYN"
"51054"	"PLEKHA8P1"
"2885"	"GRB2"
"7915"	"ALDH5A1"
"339324"	"ZNF260"
"89781"	"HPS4"
"89781"	"HPS4"
"4676"	"NAP1L4"
""	""
"124935"	"SLC43A2"
"5832"	"ALDH18A1"
"6596"	"HLTF"
"10018"	"BCL2L11"
"439911"	"LOC439911"
"95681"	"CEP41"
"57097"	"PARP11"
"10424"	"PGRMC2"
"159013"	"CXorf38"
"4925"	"NUCB2"
"382"	"ARF6"
"4000"	"LMNA"
"90203"	"SNX21"
"7262"	"PHLDA2"
"9702"	"CEP57"
"3537"	"IGLC1"
"79882"	"ZC3H14"
"339324"	"ZNF260"
"54210"	"TREM1"
"100290481///28823///3537"	"CYAT1///IGLV1-44///IGLC1"
"57510"	"XPO5"
"7321"	"UBE2D1"
"51768"	"TM7SF3"
"102466889///102465871///28396///3507///3501///3500"	"MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG2///IGHG1"
"23598"	"PATZ1"
"55634"	"KRBOX4"
"79627"	"OGFRL1"
"23787"	"MTCH1"
""	""
"54482"	"TRMT13"
"23595"	"ORC3"
""	""
"998"	"CDC42"
"7705"	"ZNF146"
"2495"	"FTH1"
"28823"	"IGLV1-44"
"5994"	"RFXAP"
"6303"	"SAT1"
"677"	"ZFP36L1"
"8945"	"BTRC"
"7697"	"ZNF138"
"729299"	"PMS2P8"
"54541"	"DDIT4"
"84896"	"ATAD1"
"5002"	"SLC22A18"
"5329"	"PLAUR"
""	""
"8870"	"IER3"
"133686"	"NADK2"
"84181"	"CHD6"
"83667"	"SESN2"
"9702"	"CEP57"
"100506963"	"TCEB3-AS1"
"85464"	"SSH2"
"90624"	"LYRM7"
"3537"	"IGLC1"
"286148"	"DPY19L4"
"84450"	"ZNF512"
"84941"	"HSH2D"
"5914"	"RARA"
"7072"	"TIA1"
"7705"	"ZNF146"
""	""
"101928269///100506403///861"	"LOC101928269///LOC100506403///RUNX1"
"6303"	"SAT1"
"4204"	"MECP2"
"6452"	"SH3BP2"
"29902"	"FAM216A"
"27229"	"TUBGCP4"
"10855"	"HPSE"
"23406"	"COTL1"
""	""
"8545"	"CGGBP1"
"81691"	"LOC81691"
"101929693"	"RARA-AS1"
"134353"	"LSM11"
"4299"	"AFF1"
"10884"	"MRPS30"
"56479"	"KCNQ5"
"200081"	"TXLNA"
"4616"	"GADD45B"
"26009"	"ZZZ3"
"8905"	"AP1S2"
"57534"	"MIB1"
"5914"	"RARA"
"25896"	"INTS7"
"22869"	"ZNF510"
"2495"	"FTH1"
"92092"	"ZC3HAV1L"
"246175"	"CNOT6L"
"10198"	"MPHOSPH9"
"6923"	"TCEB2"
""	""
"100129518///6648"	"LOC100129518///SOD2"
